Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
DEFB108P3	37.72	unprocessed_pseudogene	8	12095176	12099536	4360
DEFB108P4	37.62	unprocessed_pseudogene	8	12341426	12345776	4350
DEFB109P1	36.74	unprocessed_pseudogene	8	12393209	12400366	7157
DEFB109P1B	36.67	unprocessed_pseudogene	8	7312846	7319951	7105
DEFB109P3	40.83	processed_pseudogene	8	12150895	12151134	239
DEFB110	33.06	protein_coding	6	50009138	50021981	12843
DEFB112	36.89	protein_coding	6	50043575	50048651	5076
DEFB113	31.82	protein_coding	6	49968677	49969625	948
DEFB114	26.99	protein_coding	6	49960249	49964105	3856
DEFB115	40.99	protein_coding	20	31257664	31259632	1968
DEFB116	39.65	protein_coding	20	31303212	31308585	5373
DEFB117	42.55	processed_pseudogene	20	31360790	31360930	140
DEFB118	41.99	protein_coding	20	31368618	31373923	5305
DEFB119	42.83	protein_coding	20	31377164	31390603	13439
DEFB121	42.73	protein_coding	20	31404845	31412838	7993
DEFB122	46.68	transcribed_unprocessed_pseudogene	20	31421436	31429180	7744
DEFB123	44.47	protein_coding	20	31440519	31450257	9738
DEFB124	55.71	protein_coding	20	31465506	31476757	11251
DEFB125	37.75	protein_coding	20	87250	97094	9844
DEFB126	35.41	protein_coding	20	142369	145751	3382
DEFB127	39.85	protein_coding	20	157470	159163	1693
DEFB128	41.39	protein_coding	20	187853	189681	1828
DEFB129	39.94	protein_coding	20	227258	229886	2628
DEFB130	36.32	protein_coding	8	12064389	12071747	7358
DEFB131	33.97	protein_coding	4	9444534	9450514	5980
DEFB132	42.90	protein_coding	20	257736	261096	3360
DEFB133	33.13	protein_coding	6	49946101	49949444	3343
DEFB134	39.60	protein_coding	8	11993174	11996312	3138
DEFB135	44.41	protein_coding	8	11982321	11984590	2269
DEFB136	49.02	protein_coding	8	11973937	11974599	662
DEFB4A	43.64	protein_coding	8	7894629	7896711	2082
DEFB4B	43.69	protein_coding	CHR_HSCHR8_3_CTG1	7406782	7408809	2027
DEFT1P	44.46	unprocessed_pseudogene	8	6987178	6989721	2543
DEFT1P2	44.94	unprocessed_pseudogene	8	7006293	7007389	1096
DEGS1	46.06	protein_coding	1	224175756	224193441	17685
DEGS2	60.68	protein_coding	14	100143957	100160163	16206
DEK	39.43	protein_coding	6	18223868	18264823	40955
DENND1A	42.52	protein_coding	9	123379654	123930152	550498
DENND1B	34.32	protein_coding	1	197504748	197775696	270948
DENND1C	55.66	protein_coding	19	6467207	6482557	15350
DENND2A	47.56	protein_coding	7	140518420	140673993	155573
DENND2C	39.41	protein_coding	1	114582848	114670422	87574
DENND2D	50.09	protein_coding	1	111187174	111204535	17361
DENND3	51.59	protein_coding	8	141117278	141195808	78530
DENND4A	37.31	protein_coding	15	65658046	65792293	134247
DENND4B	56.48	protein_coding	1	153929501	153946696	17195
DENND4C	38.75	protein_coding	9	19230435	19373545	143110
DENND5A	43.01	protein_coding	11	9138825	9265390	126565
DENND5B	40.95	protein_coding	12	31382223	31591097	208874
DENND5B-AS1	43.72	antisense	12	31589923	31615666	25743
DENND6A	39.72	protein_coding	3	57625457	57693089	67632
DENND6B	60.26	protein_coding	22	50309030	50327060	18030
DENR	42.12	protein_coding	12	122752774	122771064	18290
DEPDC1	34.94	protein_coding	1	68474152	68497221	23069
DEPDC1-AS1	36.39	antisense	1	68496676	68538627	41951
DEPDC1B	38.63	protein_coding	5	60596912	60700190	103278
DEPDC4	39.88	protein_coding	12	100203669	100267079	63410
DEPDC5	45.23	protein_coding	22	31753951	31907034	153083
DEPDC7	38.52	protein_coding	11	33015864	33033582	17718
DEPTOR	43.18	protein_coding	8	119873717	120050913	177196
DERA	39.16	protein_coding	12	15911172	16037282	126110
DERL1	41.26	protein_coding	8	123013164	123042423	29259
DERL2	41.38	protein_coding	17	5471251	5486811	15560
DERL3	61.00	protein_coding	CHR_HSCHR22_1_CTG7	23834505	23839012	4507
DES	55.28	protein_coding	2	219418377	219426739	8362
DESI1	46.95	protein_coding	22	41598028	41621096	23068
DESI2	40.41	protein_coding	1	244652935	244709033	56098
DET1	42.75	protein_coding	15	88511559	88546675	35116
DEXI	51.35	protein_coding	16	10928891	10942460	13569
DFFA	48.52	protein_coding	1	10456522	10472526	16004
DFFB	51.66	protein_coding	1	3857267	3885429	28162
DFFBP1	56.69	processed_pseudogene	9	32566148	32567126	978
DFNA5	45.73	protein_coding	7	24698353	24758113	59760
DFNB31	48.36	protein_coding	9	114402080	114505450	103370
DFNB59	39.52	protein_coding	2	178451436	178461390	9954
DGAT1	63.02	protein_coding	8	144314584	144326910	12326
DGAT2	52.02	protein_coding	11	75759512	75801535	42023
DGAT2L6	41.93	protein_coding	X	70177483	70205545	28062
DGAT2L7P	62.75	unprocessed_pseudogene	7	101201809	101203526	1717
DGCR10	61.41	sense_intronic	22	19023056	19023550	494
DGCR11	49.01	sense_intronic	22	19046162	19048375	2213
DGCR14	55.92	protein_coding	22	19130279	19144684	14405
DGCR2	48.62	protein_coding	22	19036282	19122454	86172
DGCR5	50.19	antisense	22	18970514	19031242	60728
DGCR6	57.94	protein_coding	KI270734.1	131494	137392	5898
DGCR6L	57.73	protein_coding	22	20314276	20320080	5804
DGCR8	52.21	protein_coding	22	20080232	20111877	31645
DGCR9	54.74	lincRNA	22	19017834	19020248	2414
DGKA	48.71	protein_coding	12	55927319	55954027	26708
DGKB	35.02	protein_coding	7	14145049	14974777	829728
DGKD	47.76	protein_coding	2	233354507	233472104	117597
DGKE	38.37	protein_coding	17	56834099	56869567	35468
DGKG	44.70	protein_coding	3	186105668	186362237	256569
DGKH	38.24	protein_coding	13	42040036	42256578	216542
DGKI	39.15	protein_coding	7	137381037	137847092	466055
DGKK	41.02	protein_coding	X	50365409	50470738	105329
DGKQ	60.55	protein_coding	4	958885	986895	28010
DGKZ	56.98	protein_coding	11	46332905	46380554	47649
DGKZP1	62.82	processed_pseudogene	13	43968424	43971199	2775
DGUOK	42.81	protein_coding	2	73926826	73958961	32135
DGUOK-AS1	45.28	antisense	2	73947642	73981441	33799
DHCR24	47.68	protein_coding	1	54849633	54887218	37585
DHCR7	51.71	protein_coding	11	71428193	71452868	24675
DHDDS	45.47	protein_coding	1	26432282	26471294	39012
DHDH	52.56	protein_coding	19	48933682	48944969	11287
DHFR	41.24	protein_coding	5	80626228	80654983	28755
DHFRL1	35.09	protein_coding	3	94047836	94063389	15553
DHFRP1	42.04	processed_pseudogene	18	26170726	26171284	558
DHFRP2	40.95	processed_pseudogene	CHR_HSCHR6_MHC_SSTO_CTG1	31360052	31360598	546
DHH	58.27	protein_coding	12	49089421	49094819	5398
DHODH	50.04	protein_coding	16	72008588	72027664	19076
DHPS	54.74	protein_coding	19	12675717	12681902	6185
DHRS1	48.04	protein_coding	14	24290598	24299833	9235
DHRS11	54.56	protein_coding	CHR_HSCHR17_7_CTG4	36592759	36601744	8985
DHRS12	47.24	protein_coding	13	51767993	51804157	36164
DHRS13	54.96	protein_coding	17	28897781	28903071	5290
DHRS2	49.50	protein_coding	14	23630115	23645639	15524
DHRS3	51.31	protein_coding	1	12567910	12617731	49821
DHRS4	45.27	protein_coding	14	23953586	23969279	15693
DHRS4-AS1	43.99	antisense	14	23938731	23988839	50108
DHRS4L1	45.49	transcribed_unprocessed_pseudogene	14	24036453	24051028	14575
DHRS4L2	43.65	protein_coding	14	23969874	24006408	36534
DHRS7	39.65	protein_coding	14	60144120	60169856	25736
DHRS7B	44.22	protein_coding	17	21123364	21193265	69901
DHRS7C	47.68	protein_coding	17	9771434	9791297	19863
DHRS9	39.63	protein_coding	2	169064789	169096167	31378
DHRSX	47.11	protein_coding	X	2219516	2502805	283289
DHRSX-IT1	48.35	sense_intronic	X	2334295	2336410	2115
DHTKD1	46.21	protein_coding	10	12068972	12123225	54253
DHX15	37.26	protein_coding	4	24517441	24584550	67109
DHX16	49.96	protein_coding	CHR_HSCHR6_MHC_APD_CTG1	30723385	30736950	13565
DHX29	37.08	protein_coding	5	55256245	55307722	51477
DHX30	50.03	protein_coding	3	47802909	47850195	47286
DHX32	41.45	protein_coding	10	125836337	125896436	60099
DHX33	45.81	protein_coding	17	5440912	5469060	28148
DHX34	54.23	protein_coding	19	47349281	47382704	33423
DHX35	41.33	protein_coding	20	38962299	39039723	77424
DHX36	35.49	protein_coding	3	154272546	154324497	51951
DHX37	54.02	protein_coding	12	124946825	124989122	42297
DHX38	51.51	protein_coding	16	72093562	72112912	19350
DHX40	39.64	protein_coding	17	59565525	59608345	42820
DHX40P1	39.70	unprocessed_pseudogene	17	59976009	60002384	26375
DHX57	41.54	protein_coding	2	38797729	38875934	78205
DHX58	55.49	protein_coding	17	42101404	42112733	11329
DHX8	46.36	protein_coding	17	43483865	43544463	60598
DHX9	38.24	protein_coding	1	182839369	182887751	48382
DHX9P1	41.74	processed_pseudogene	13	76984868	76987943	3075
DIABLO	47.05	protein_coding	12	122207662	122227534	19872
DIAPH1	41.24	protein_coding	5	141515016	141619055	104039
DIAPH2	37.00	protein_coding	X	96684663	97604997	920334
DIAPH2-AS1	38.04	antisense	X	97431286	97642589	211303
DIAPH3	35.91	protein_coding	13	59665583	60163987	498404
DIAPH3-AS1	36.80	antisense	13	60012751	60044357	31606
DIAPH3-AS2	38.69	antisense	13	60144698	60153505	8807
DICER1	38.00	protein_coding	14	95086228	95158010	71782
DICER1-AS1	42.65	antisense	14	95157645	95179933	22288
DIDO1	49.19	protein_coding	20	62877738	62937952	60214
DIEXF	41.44	protein_coding	1	209828007	209857565	29558
DIMT1	39.95	protein_coding	5	62387254	62403939	16685
DIO1	47.96	protein_coding	1	53891239	53911086	19847
DIO2	37.62	protein_coding	14	80197527	80387757	190230
DIO2-AS1	37.72	antisense	14	80211419	80455469	244050
DIO3	60.80	protein_coding	14	101561351	101563452	2101
DIO3OS	58.65	lincRNA	14	101552221	101560431	8210
DIP2A	44.91	protein_coding	21	46458899	46569852	110953
DIP2A-IT1	40.16	sense_intronic	21	46462471	46469306	6835
DIP2B	41.84	protein_coding	12	50504985	50748667	243682
DIP2C	48.43	protein_coding	10	274190	689743	415553
DIRAS1	61.18	protein_coding	19	2714567	2721418	6851
DIRAS2	40.60	protein_coding	9	90609832	90643104	33272
DIRAS3	44.02	protein_coding	1	68045962	68051631	5669
DIRC1	34.06	protein_coding	2	188734155	188790104	55949
DIRC2	38.14	protein_coding	3	122794795	122881139	86344
DIRC3	42.30	protein_coding	2	217284019	217756593	472574
DIRC3-AS1	40.40	lincRNA	2	217282739	217336120	53381
DIS3	36.46	protein_coding	13	72752169	72782096	29927
DIS3L	42.92	protein_coding	15	66293217	66333898	40681
DIS3L2	42.48	protein_coding	2	231961245	232344350	383105
DIS3L2P1	63.34	unprocessed_pseudogene	2	232442034	232447418	5384
DISC1	42.18	protein_coding	1	231626815	232041272	414457
DISC1-IT1	44.91	sense_intronic	1	231925834	231945233	19399
DISC1FP1	35.40	processed_transcript	11	90251232	90915052	663820
DISC2	26.83	misc_RNA	1	231814982	231815186	204
DISP1	37.44	protein_coding	1	222872271	223005995	133724
DISP2	57.21	protein_coding	15	40358235	40371056	12821
DIXDC1	43.30	protein_coding	11	111927144	112022584	95440
DKC1	45.62	protein_coding	X	154762742	154777689	14947
DKFZP313A047	41.98	protein_coding	11	118025369	118029863	4494
DKFZP434A062	61.32	lincRNA	9	136322303	136327323	5020
DKFZP434G155	58.23	protein_coding	CHR_HSCHRX_2_CTG3	333241	385935	52694
DKFZP434H168	52.13	antisense	16	56192614	56194518	1904
DKFZp434J0226	50.30	processed_transcript	19	46203426	46214837	11411
DKFZP434K028	59.28	lincRNA	11	61746493	61757655	11162
DKFZP434L187	40.51	lincRNA	15	30196036	30214540	18504
DKFZp434L192	55.45	lincRNA	7	56493124	56497285	4161
DKFZP434P228	43.97	protein_coding	5	98792863	98795766	2903
DKFZP586I1420	47.57	processed_pseudogene	7	30371508	30372741	1233
DKFZP686J19100	49.95	protein_coding	16	81101123	81181213	80090
DKFZP686L19235	65.14	protein_coding	CHR_HSCHR14_3_CTG1	105588245	105589753	1508
DKK1	43.26	protein_coding	10	52314296	52318042	3746
DKK2	36.05	protein_coding	4	106921802	107283806	362004
DKK3	49.18	protein_coding	11	11963106	12009769	46663
DKK4	45.18	protein_coding	8	42374068	42377232	3164
DKKL1	50.25	protein_coding	19	49361783	49375116	13333
DKKL1P1	60.03	processed_pseudogene	20	31274170	31274867	697
DLAT	41.27	protein_coding	11	112024814	112064390	39576
DLC1	39.04	protein_coding	8	13083361	13515658	432297
DLD	36.67	protein_coding	7	107890970	107931730	40760
DLEC1	48.50	protein_coding	3	38039205	38124025	84820
DLEC1P1	51.15	unprocessed_pseudogene	3	38325237	38329070	3833
DLEU1	39.72	protein_coding	13	50082171	50723236	641065
DLEU1_1	47.37	misc_RNA	13	50082295	50082484	189
DLEU1_2	38.01	misc_RNA	13	50104833	50105174	341
DLEU1-AS1	43.27	lincRNA	13	50520933	50527449	6516
DLEU2	38.45	antisense	13	49982552	50125720	143168
DLEU2_1	28.33	misc_RNA	13	50044649	50044768	119
DLEU2_2	35.56	misc_RNA	1	63549374	63549463	89
DLEU2_3	32.88	misc_RNA	13	50049591	50049663	72
DLEU2_4	32.76	misc_RNA	1	63549227	63549284	57
DLEU2_5	41.67	misc_RNA	1	63549133	63549216	83
DLEU2_6	47.79	misc_RNA	13	50081843	50081978	135
DLEU2L	35.86	sense_intronic	1	63547082	63550636	3554
DLEU7	40.02	protein_coding	13	50711008	50843939	132931
DLEU7-AS1	40.12	antisense	13	50807856	50849905	42049
DLG1	36.59	protein_coding	3	197042560	197299300	256740
DLG1-AS1	46.43	antisense	3	197298252	197303747	5495
DLG2	37.02	protein_coding	11	83455012	85627922	2172910
DLG2-AS1_1	33.80	misc_RNA	11	84887207	84887419	212
DLG2-AS1_2	52.29	misc_RNA	11	84890744	84890961	217
DLG3	46.89	protein_coding	X	70444861	70505490	60629
DLG3-AS1	57.16	antisense	X	70452958	70455994	3036
DLG4	55.08	protein_coding	17	7189890	7219702	29812
DLG5	50.03	protein_coding	CHR_HSCHR10_1_CTG4	77790793	77926620	135827
DLG5-AS1	48.35	antisense	10	77927372	77929824	2452
DLGAP1	39.67	protein_coding	18	3496032	4455335	959303
DLGAP1-AS1	48.32	antisense	18	3593732	3598352	4620
DLGAP1-AS2	42.98	antisense	18	3603000	3608336	5336
DLGAP1-AS3	43.13	antisense	18	3878180	3897069	18889
DLGAP1-AS4	39.38	antisense	18	3962353	4013943	51590
DLGAP1-AS5	37.35	antisense	18	4264602	4295405	30803
DLGAP2	47.30	protein_coding	8	1501366	1708476	207110
DLGAP2-AS1	45.07	antisense	8	1565509	1622417	56908
DLGAP3	48.59	protein_coding	1	34865436	34929585	64149
DLGAP4	51.09	protein_coding	20	36306336	36528637	222301
DLGAP4-AS1	49.61	antisense	20	36507702	36573391	65689
DLGAP5	39.11	protein_coding	14	55148112	55191678	43566
DLGAP5P1	34.05	processed_pseudogene	Y	6158802	6159265	463
DLK1	55.89	protein_coding	14	100725705	100738224	12519
DLK2	57.38	protein_coding	6	43450352	43456632	6280
DLL1	57.85	protein_coding	CHR_HSCHR6_1_CTG5	170282210	170290609	8399
DLL3	56.84	protein_coding	19	39498895	39508481	9586
DLL4	57.10	protein_coding	15	40929340	40939072	9732
DLST	44.92	protein_coding	14	74881891	74903745	21854
DLX1	55.73	protein_coding	2	172084740	172089677	4937
DLX2	59.82	protein_coding	2	172099439	172102900	3461
DLX2-AS1	51.56	lincRNA	2	172103006	172109982	6976
DLX3	57.41	protein_coding	17	49990005	49995224	5219
DLX4	59.00	protein_coding	17	49968970	49974959	5989
DLX5	55.55	protein_coding	7	97020392	97025097	4705
DLX6	49.51	protein_coding	7	97005548	97011039	5491
DLX6-AS1	42.59	antisense	7	96955141	97014065	58924
DMAP1	52.33	protein_coding	1	44213455	44220681	7226
DMBT1	49.13	protein_coding	10	122560665	122643736	83071
DMBT1P1	43.13	transcribed_processed_pseudogene	10	122756694	122799180	42486
DMBX1	55.86	protein_coding	1	46506996	46514226	7230
DMC1	42.07	protein_coding	22	38518949	38570286	51337
DMD	36.42	protein_coding	X	31097677	33339441	2241764
DMD-AS3	32.51	antisense	X	32754940	32756400	1460
DMGDH	41.48	protein_coding	5	78997606	79236038	238432
DMKN	54.04	protein_coding	19	35497220	35513658	16438
DMP1	38.38	protein_coding	4	87650307	87664361	14054
DMPK	59.04	protein_coding	19	45769717	45782552	12835
DMRT1	43.16	protein_coding	9	841690	969090	127400
DMRT2	47.90	protein_coding	9	1050354	1057552	7198
DMRT3	43.73	protein_coding	9	976964	991731	14767
DMRTA1	37.55	protein_coding	9	22446841	22455740	8899
DMRTA2	60.11	protein_coding	1	50417550	50423500	5950
DMRTB1	54.92	protein_coding	1	53459399	53467488	8089
DMRTC1	44.14	protein_coding	X	72872025	72943814	71789
DMRTC1B	44.14	protein_coding	X	72777009	72848802	71793
DMRTC2	52.25	protein_coding	19	41844743	41852333	7590
DMTF1	35.84	protein_coding	7	87152361	87196337	43976
DMTN	54.92	protein_coding	8	22048995	22082527	33532
DMWD	57.55	protein_coding	19	45782947	45792802	9855
DMXL1	37.58	protein_coding	5	119037772	119249138	211366
DMXL2	36.95	protein_coding	15	51447711	51622833	175122
DNA2	42.26	protein_coding	10	68414064	68472121	58057
DNAAF1	47.35	protein_coding	16	84145287	84178767	33480
DNAAF2	46.14	protein_coding	14	49625174	49635230	10056
DNAAF3	56.36	protein_coding	19	55158661	55166722	8061
DNAH1	55.25	protein_coding	3	52316319	52400491	84172
DNAH10	46.33	protein_coding	12	123762188	123936206	174018
DNAH10OS	51.00	protein_coding	12	123926424	123934984	8560
DNAH11	38.72	protein_coding	7	21543215	21901839	358624
DNAH12	38.66	protein_coding	3	57293699	57544344	250645
DNAH14	37.40	protein_coding	1	224896262	225399292	503030
DNAH17	52.36	protein_coding	17	78423697	78577394	153697
DNAH17-AS1	56.75	processed_transcript	17	78484882	78503056	18174
DNAH2	48.43	protein_coding	17	7717354	7833744	116390
DNAH3	44.03	protein_coding	16	20933111	21159441	226330
DNAH5	38.97	protein_coding	5	13690331	13944543	254212
DNAH6	38.37	protein_coding	2	84516455	84819589	303134
DNAH7	37.10	protein_coding	2	195737703	196068812	331109
DNAH8	39.11	protein_coding	6	38715341	39030529	315188
DNAH9	42.63	protein_coding	17	11598431	11969748	371317
DNAI1	47.92	protein_coding	9	34457414	34520989	63575
DNAI2	50.42	protein_coding	17	74274247	74314884	40637
DNAJA1	41.22	protein_coding	9	33025211	33039907	14696
DNAJA1P1	40.10	processed_pseudogene	13	58751047	58752233	1186
DNAJA1P2	37.76	processed_pseudogene	2	153761450	153762646	1196
DNAJA1P3	41.54	processed_pseudogene	X	107351650	107352843	1193
DNAJA1P4	40.65	processed_pseudogene	6	114349483	114350648	1165
DNAJA1P5	38.92	processed_pseudogene	1	101893105	101894047	942
DNAJA1P6	43.22	processed_pseudogene	22	17518676	17519029	353
DNAJA2	42.72	protein_coding	16	46955362	46973788	18426
DNAJA3	49.02	protein_coding	16	4425805	4456775	30970
DNAJA4	47.08	protein_coding	15	78264086	78282196	18110
DNAJB1	52.02	protein_coding	19	14514770	14529770	15000
DNAJB11	40.85	protein_coding	3	186567403	186597203	29800
DNAJB12	53.03	protein_coding	10	72332830	72355230	22400
DNAJB13	50.45	protein_coding	11	73950319	73970366	20047
DNAJB14	34.80	protein_coding	4	99896248	99946726	50478
DNAJB1P1	54.98	processed_pseudogene	2	191881182	191882205	1023
DNAJB2	56.92	protein_coding	2	219279267	219286900	7633
DNAJB3	49.21	transcribed_processed_pseudogene	2	233742750	233744015	1265
DNAJB4	37.07	protein_coding	1	77979175	78017964	38789
DNAJB5	55.15	protein_coding	9	34989641	34998900	9259
DNAJB5P1	45.53	processed_pseudogene	9	76931261	76932066	805
DNAJB6	48.15	protein_coding	7	157335381	157417439	82058
DNAJB7	36.66	protein_coding	22	40859549	40862126	2577
DNAJB8	55.16	protein_coding	3	128462439	128467248	4809
DNAJB8-AS1	55.04	antisense	3	128463594	128472317	8723
DNAJB9	38.78	protein_coding	7	108569568	108574850	5282
DNAJC1	37.73	protein_coding	10	21756537	22003769	247232
DNAJC10	36.39	protein_coding	2	182716041	182794464	78423
DNAJC11	46.60	protein_coding	1	6634168	6701924	67756
DNAJC12	39.63	protein_coding	10	67796665	67838166	41501
DNAJC13	36.80	protein_coding	3	132417526	132539032	121506
DNAJC14	49.07	protein_coding	12	55820960	55830824	9864
DNAJC15	38.12	protein_coding	13	43023203	43114224	91021
DNAJC16	44.67	protein_coding	1	15526813	15592379	65566
DNAJC17	50.19	protein_coding	15	40765155	40807477	42322
DNAJC18	44.33	protein_coding	5	139408588	139444491	35903
DNAJC19	39.17	protein_coding	3	180983709	180989774	6065
DNAJC19P1	40.44	processed_pseudogene	10	67833763	67834081	318
DNAJC19P2	35.05	processed_pseudogene	19	41605341	41605671	330
DNAJC19P3	40.18	processed_pseudogene	19	41638569	41638899	330
DNAJC19P4	39.71	processed_pseudogene	3	2985231	2985575	344
DNAJC19P5	41.14	processed_pseudogene	2	177229191	177229506	315
DNAJC19P6	40.71	processed_pseudogene	6	89797598	89797877	279
DNAJC19P7	43.26	processed_pseudogene	1	52252062	52252773	711
DNAJC19P8	45.17	processed_pseudogene	1	245282831	245283089	258
DNAJC19P9	41.31	processed_pseudogene	14	45290036	45290386	350
DNAJC2	40.56	protein_coding	7	103312474	103344873	32399
DNAJC21	39.24	protein_coding	5	34929593	34958964	29371
DNAJC22	46.84	protein_coding	12	49346917	49357546	10629
DNAJC24	36.51	protein_coding	11	31369840	31432832	62992
DNAJC25	42.74	protein_coding	9	111631352	111654351	22999
DNAJC25-GNG10	43.44	protein_coding	9	111631386	111670229	38843
DNAJC27	40.71	protein_coding	2	24943636	24972094	28458
DNAJC27-AS1	45.18	antisense	2	24971390	25039694	68304
DNAJC28	44.59	protein_coding	CHR_HSCHR21_4_CTG1_1	33495087	33501278	6191
DNAJC3	39.79	protein_coding	13	95677139	95794989	117850
DNAJC3-AS1	38.92	lincRNA	13	95648733	95676925	28192
DNAJC30	54.45	protein_coding	7	73680969	73683453	2484
DNAJC4	58.22	protein_coding	11	64230278	64234286	4008
DNAJC5	51.37	protein_coding	20	63895182	63936031	40849
DNAJC5B	40.54	protein_coding	8	66021560	66100526	78966
DNAJC5G	48.56	protein_coding	2	27275421	27281499	6078
DNAJC6	40.01	protein_coding	1	65248219	65415869	167650
DNAJC7	45.79	protein_coding	17	41976433	42021376	44943
DNAJC8	43.16	protein_coding	1	28199456	28233025	33569
DNAJC8P1	41.13	processed_pseudogene	14	35430260	35430631	371
DNAJC9	40.00	protein_coding	10	73183362	73248862	65500
DNAJC9-AS1	41.21	antisense	10	73247360	73276984	29624
DNAL1	40.53	protein_coding	14	73644875	73703732	58857
DNAL4	51.30	protein_coding	22	38778508	38794198	15690
DNALI1	49.25	protein_coding	1	37556919	37566857	9938
DNASE1	49.35	protein_coding	16	3611728	3680143	68415
DNASE1L1	54.47	protein_coding	X	154401238	154412112	10874
DNASE1L2	68.65	protein_coding	16	2235816	2238711	2895
DNASE1L3	46.13	protein_coding	3	58192257	58214697	22440
DNASE2	52.62	protein_coding	19	12875211	12881468	6257
DNASE2B	39.33	protein_coding	1	84398532	84415018	16486
DND1	57.82	protein_coding	5	140670794	140673586	2792
DND1P1	65.34	processed_pseudogene	17	45585871	45586929	1058
DNER	41.04	protein_coding	2	229357629	229714558	356929
DNHD1	43.78	protein_coding	11	6497260	6593758	96498
DNLZ	64.59	protein_coding	9	136359480	136363789	4309
DNM1	55.13	protein_coding	9	128203379	128255248	51869
DNM1L	38.21	protein_coding	12	32679200	32745650	66450
DNM1P17	52.21	unprocessed_pseudogene	10	30353706	30357365	3659
DNM1P24	58.09	unprocessed_pseudogene	Y	24179316	24183505	4189
DNM1P28	54.59	unprocessed_pseudogene	15	30098826	30102093	3267
DNM1P30	57.68	unprocessed_pseudogene	15	30150872	30153409	2537
DNM1P31	57.54	unprocessed_pseudogene	15	32384937	32387484	2547
DNM1P32	54.52	unprocessed_pseudogene	15	32436503	32439767	3264
DNM1P33	56.36	unprocessed_pseudogene	15	74062780	74063785	1005
DNM1P34	58.02	transcribed_unprocessed_pseudogene	15	75299953	75302965	3012
DNM1P35	56.34	antisense	15	75727670	75738623	10953
DNM1P38	58.18	unprocessed_pseudogene	15	82531653	82534139	2486
DNM1P41	54.54	TEC	15	84166547	84169896	3349
DNM1P46	49.14	transcribed_unprocessed_pseudogene	15	99790156	99806927	16771
DNM1P47	49.29	transcribed_unprocessed_pseudogene	15	101751032	101794302	43270
DNM1P48	64.86	processed_pseudogene	Y	25486640	25487322	682
DNM1P49	56.59	unprocessed_pseudogene	15	75791470	75792683	1213
DNM1P50	54.56	unprocessed_pseudogene	15	30567822	30571089	3267
DNM1P51	57.08	transcribed_unprocessed_pseudogene	15	84398316	84411701	13385
DNM2	53.07	protein_coding	19	10718079	10833488	115409
DNM3	37.28	protein_coding	1	171841498	172418466	576968
DNM3-IT1	42.51	sense_intronic	1	171864187	171864687	500
DNM3OS	33.12	antisense	1	172136531	172144794	8263
DNMBP	43.70	protein_coding	10	99875577	100009919	134342
DNMBP-AS1	43.25	antisense	10	99927010	99958381	31371
DNMT1	50.43	protein_coding	19	10133345	10231286	97941
DNMT3A	53.43	protein_coding	2	25227855	25342590	114735
DNMT3B	49.40	protein_coding	20	32762385	32809356	46971
DNMT3L	57.00	protein_coding	21	44246339	44262216	15877
DNPEP	48.82	protein_coding	2	219373546	219400022	26476
DNPH1	55.32	protein_coding	6	43225629	43229484	3855
DNTT	42.58	protein_coding	10	96304396	96338564	34168
DNTTIP1	46.00	protein_coding	20	45791937	45811427	19490
DNTTIP2	39.28	protein_coding	1	93866283	93879918	13635
DOC2A	55.16	protein_coding	16	30005509	30023270	17761
DOC2B	56.44	protein_coding	17	142789	181636	38847
DOC2GP	62.94	unitary_pseudogene	11	67612653	67616257	3604
DOCK1	45.16	protein_coding	10	126905409	127452517	547108
DOCK10	39.37	protein_coding	2	224765090	225042445	277355
DOCK11	39.68	protein_coding	X	118495898	118686163	190265
DOCK11P1	38.77	processed_pseudogene	14	44860316	44866247	5931
DOCK2	43.39	protein_coding	5	169637247	170083382	446135
DOCK3	40.15	protein_coding	3	50675241	51384198	708957
DOCK4	39.18	protein_coding	7	111726110	112206411	480301
DOCK4-AS1	38.43	antisense	7	111808516	111821773	13257
DOCK5	42.37	protein_coding	8	25184723	25418082	233359
DOCK6	53.76	protein_coding	19	11199295	11262481	63186
DOCK7	36.07	protein_coding	1	62454728	62688368	233640
DOCK8	41.50	protein_coding	9	214854	465259	250405
DOCK9	41.78	protein_coding	13	98793487	99086625	293138
DOCK9-AS1	39.00	antisense	13	98832084	98834629	2545
DOCK9-AS2	50.43	antisense	13	99087819	99088625	806
DOHH	56.58	protein_coding	19	3490821	3500940	10119
DOK1	58.42	protein_coding	2	74549026	74557554	8528
DOK2	59.44	protein_coding	8	21908873	21913860	4987
DOK3	58.13	protein_coding	5	177501907	177511274	9367
DOK4	58.39	protein_coding	16	57471922	57487327	15405
DOK5	39.92	protein_coding	20	54475597	54651171	175574
DOK6	36.17	protein_coding	18	69401055	69849087	448032
DOK7	62.88	protein_coding	4	3463311	3501473	38162
DOLK	56.89	protein_coding	9	128945530	128947619	2089
DOLPP1	57.76	protein_coding	9	129081100	129090438	9338
DONSON	37.85	protein_coding	21	33559542	33588708	29166
DOPEY1	35.96	protein_coding	6	83067666	83171350	103684
DOPEY2	47.09	protein_coding	21	36156782	36294274	137492
DOT1L	59.45	protein_coding	19	2164149	2232578	68429
DPAGT1	50.74	protein_coding	11	119096503	119108331	11828
